PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p022,ACPE,"striped maple",0to2cm,1,0,0,7,0.0024,STM,1995,1,Core,279500,4869600,795,12.62,0.05,675,98,12.9482950302069,1995,2005,2015,10,10,M,NH.wood
p022,BEAL,"yellow birch",0to2cm,1,0,0,1,0.0024,YB,1995,1,Core,279500,4869600,795,12.62,0.05,675,98,12.9482950302069,1995,2005,2015,10,10,M,NH.wood
p023,FAGR,beech,0to2cm,1,3,5,3,0.0024,AB,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p023,ACSP,"mountain maple",0to2cm,1,0,0,2,0.0024,MM,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p023,ACSA,"sugar maple",0to2cm,1,0,0,4,0.0024,SM,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p023,ACPE,"striped maple",0to2cm,1,1,1,8,0.0024,STM,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p023,FRAM,"white ash",0to2cm,1,3,3,3,0.0024,WA,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p023,BEAL,"yellow birch",0to2cm,1,0,0,1,0.0024,YB,1995,1,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p024,FAGR,beech,0to2cm,1,17,19,4,0.0024,AB,1995,1,Core,279500,4869300,795,12.62,0.05,630,249,7.72384234994304,1995,2005,2015,10,10,M,NH.wood
p024,ACSP,"mountain maple",0to2cm,1,0,0,1,0.0024,MM,1995,1,Core,279500,4869300,795,12.62,0.05,630,249,7.72384234994304,1995,2005,2015,10,10,M,NH.wood
p024,ACSA,"sugar maple",0to2cm,1,0,0,1,0.0024,SM,1995,1,Core,279500,4869300,795,12.62,0.05,630,249,7.72384234994304,1995,2005,2015,10,10,M,NH.wood
p024,ACPE,"striped maple",0to2cm,1,4,5,2,0.0024,STM,1995,1,Core,279500,4869300,795,12.62,0.05,630,249,7.72384234994304,1995,2005,2015,10,10,M,NH.wood
p025,FAGR,beech,0to2cm,1,17,21,9,0.0024,AB,1995,1,Core,279500,4869100,795,12.62,0.05,620,25,3.63770591600794,1995,2005,2015,10,10,L,NH.wood
p025,ABBA,"balsam fir",0to2cm,1,0,0,1,0.0024,BF,1995,1,Core,279500,4869100,795,12.62,0.05,620,25,3.63770591600794,1995,2005,2015,10,10,L,NH.wood
p025,PIRU,"red spruce",0to2cm,1,0,0,1,0.0024,RS,1995,1,Core,279500,4869100,795,12.62,0.05,620,25,3.63770591600794,1995,2005,2015,10,10,L,NH.wood
p025,ACPE,"striped maple",0to2cm,1,2,2,4,0.0024,STM,1995,1,Core,279500,4869100,795,12.62,0.05,620,25,3.63770591600794,1995,2005,2015,10,10,L,NH.wood
p026,FAGR,beech,0to2cm,1,25,26,16,0.0024,AB,1995,1,Core,279500,4869000,795,12.62,0.05,620,180,8.7488663525924,1995,2005,2015,10,10,L,NH.wood
p026,ACPE,"striped maple",0to2cm,1,0,0,2,0.0024,STM,1995,1,Core,279500,4869000,795,12.62,0.05,620,180,8.7488663525924,1995,2005,2015,10,10,L,NH.wood
p026,BEAL,"yellow birch",0to2cm,1,1,1,2,0.0024,YB,1995,1,Core,279500,4869000,795,12.62,0.05,620,180,8.7488663525924,1995,2005,2015,10,10,L,NH.wood
p027,FAGR,beech,0to2cm,1,0,0,2,0.0024,AB,1995,1,Core,279500,4868800,795,12.62,0.05,555,152,8.16292848861025,1995,2005,2015,10,10,L,NH.wood
p027,ACPE,"striped maple",0to2cm,1,0,0,5,0.0024,STM,1995,1,Core,279500,4868800,795,12.62,0.05,555,152,8.16292848861025,1995,2005,2015,10,10,L,NH.wood
p027,BEAL,"yellow birch",0to2cm,1,0,0,5,0.0024,YB,1995,1,Core,279500,4868800,795,12.62,0.05,555,152,8.16292848861025,1995,2005,2015,10,10,L,NH.wood
p028,PIRU,"red spruce",0to2cm,1,1,2,2,0.0024,RS,1995,1,Core,279500,4868700,795,12.62,0.05,540,196,22.7194425798742,1995,2005,2015,10,10,L,NH.high
p028,ACSA,"sugar maple",0to2cm,1,0,0,2,0.0024,SM,1995,1,Core,279500,4868700,795,12.62,0.05,540,196,22.7194425798742,1995,2005,2015,10,10,L,NH.high
p028,ACPE,"striped maple",0to2cm,1,0,0,4,0.0024,STM,1995,1,Core,279500,4868700,795,12.62,0.05,540,196,22.7194425798742,1995,2005,2015,10,10,L,NH.high
p029,FAGR,beech,0to2cm,1,2,3,2,0.0024,AB,1995,1,Core,279500,4868500,795,12.62,0.05,490,168,19.9214782415618,1995,2005,2015,10,10,L,NH.wood
p029,ACSA,"sugar maple",0to2cm,1,1,1,3,0.0024,SM,1995,1,Core,279500,4868500,795,12.62,0.05,490,168,19.9214782415618,1995,2005,2015,10,10,L,NH.wood
p029,ACPE,"striped maple",0to2cm,1,0,0,8,0.0024,STM,1995,1,Core,279500,4868500,795,12.62,0.05,490,168,19.9214782415618,1995,2005,2015,10,10,L,NH.wood
p029,BEAL,"yellow birch",0to2cm,1,0,0,4,0.0024,YB,1995,1,Core,279500,4868500,795,12.62,0.05,490,168,19.9214782415618,1995,2005,2015,10,10,L,NH.wood
