PlotTag,Species4,SppCommon,DBH,CrownStatus,TreeStatus,Year,PlotGrid,UTM.Easting,UTM.Northing,Transect No.,PlotRadiusm,PlotAreaha,SapAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p015,FAGR,beech,2.3,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,3.5,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,3.6,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,2.1,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,2.2,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,3.9,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p015,FAGR,beech,2.2,NA,1,2005,Core,280000,4870500,800,12.62,0.05,0.005048,750,198,11.74730014,1995,2005,2015,10,10,H,SF.firbirch
p016,FAGR,beech,3.3,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,7.7,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,ACPE,striped maple,2.9,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,6,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,4.2,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,2.5,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.8,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,7.6,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.2,NA,2,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.8,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,ACPE,striped maple,5.4,NA,5,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.5,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.4,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,6.8,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,7.7,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,2.9,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,4.5,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,7.3,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,4.1,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,5.4,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,3.7,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,FAGR,beech,7.4,NA,1,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
p016,PIRU,red spruce,3.4,NA,4,2005,Core,279500,4870500,795,12.62,0.05,0.005048,765,155,14.20243077,1995,2005,2015,10,10,H,NH.wood
